nameWithOwner,createdAt,pushedAt,primaryLanguage,stargazers,releases,mergedPRs,closedIssues,totalIssues,Repository Age,Accepted Pull Requests,Total Releases,Time Since Last Update,Language,Closed Issues Percent,Days Since Last Update
opencv/opencv,2012-07-19T09:40:17Z,2021-03-03T21:11:01Z,{'name': 'C++'},{'totalCount': 52699},{'totalCount': 50},{'totalCount': 9516},{'totalCount': 5955},{'totalCount': 7796},1488,2626,54,,TypeScript,98.83148831488316,0.0
socketio/socket.io,2010-03-11T18:24:48Z,2021-03-02T14:35:08Z,{'name': 'JavaScript'},{'totalCount': 52653},{'totalCount': 34},{'totalCount': 390},{'totalCount': 2787},{'totalCount': 2985},2797,6178,194,,Go,96.93450114242194,0.0
typicode/json-server,2013-11-27T13:21:13Z,2021-03-03T09:00:21Z,{'name': 'JavaScript'},{'totalCount': 52539},{'totalCount': 9},{'totalCount': 96},{'totalCount': 428},{'totalCount': 931},4298,218,0,,,91.61836127212909,1064.0
doocs/advanced-java,2018-10-06T11:38:30Z,2021-02-20T12:15:22Z,{'name': 'Java'},{'totalCount': 52461},{'totalCount': 0},{'totalCount': 58},{'totalCount': 108},{'totalCount': 109},2314,541,60,,JavaScript,75.32368621477532,0.0
chartjs/Chart.js,2013-03-17T23:56:36Z,2021-03-03T21:45:08Z,{'name': 'JavaScript'},{'totalCount': 52336},{'totalCount': 58},{'totalCount': 2104},{'totalCount': 5444},{'totalCount': 5666},1459,287,0,,,98.14814814814815,1.0
expressjs/express,2009-06-26T18:56:01Z,2021-03-02T14:55:53Z,{'name': 'JavaScript'},{'totalCount': 52138},{'totalCount': 141},{'totalCount': 211},{'totalCount': 3369},{'totalCount': 3477},1488,2626,54,,TypeScript,98.83148831488316,0.0
xingshaocheng/architect-awesome,2018-04-06T13:30:58Z,2020-12-24T15:08:09Z,,{'totalCount': 51994},{'totalCount': 0},{'totalCount': 49},{'totalCount': 19},{'totalCount': 64},2797,6178,194,,Go,96.93450114242194,0.0
shadowsocks/shadowsocks-windows,2013-01-14T07:54:16Z,2021-03-02T06:49:35Z,{'name': 'C#'},{'totalCount': 51776},{'totalCount': 54},{'totalCount': 257},{'totalCount': 2634},{'totalCount': 2656},4298,218,0,,,91.61836127212909,1064.0
netdata/netdata,2013-06-17T18:39:10Z,2021-03-03T20:49:15Z,{'name': 'C'},{'totalCount': 51699},{'totalCount': 44},{'totalCount': 4032},{'totalCount': 5524},{'totalCount': 6109},2314,541,60,,JavaScript,75.32368621477532,0.0
microsoft/PowerToys,2019-05-01T17:44:02Z,2021-03-03T21:50:21Z,{'name': 'C#'},{'totalCount': 51084},{'totalCount': 32},{'totalCount': 2149},{'totalCount': 6238},{'totalCount': 7549},1459,287,0,,,98.14814814814815,1.0
keras-team/keras,2015-03-28T00:35:42Z,2021-03-03T21:46:01Z,{'name': 'Python'},{'totalCount': 50793},{'totalCount': 23},{'totalCount': 2414},{'totalCount': 7236},{'totalCount': 10437},1488,2626,54,,TypeScript,98.83148831488316,0.0
adam-p/markdown-here,2012-05-13T03:27:22Z,2020-12-31T17:25:05Z,{'name': 'JavaScript'},{'totalCount': 50463},{'totalCount': 11},{'totalCount': 20},{'totalCount': 302},{'totalCount': 570},2797,6178,194,,Go,96.93450114242194,0.0
gohugoio/hugo,2013-07-04T15:26:26Z,2021-03-03T19:17:06Z,{'name': 'Go'},{'totalCount': 50408},{'totalCount': 150},{'totalCount': 1313},{'totalCount': 4619},{'totalCount': 5198},4298,218,0,,,91.61836127212909,1064.0
chrislgarry/Apollo-11,2014-04-03T15:45:02Z,2021-02-28T09:02:48Z,{'name': 'Assembly'},{'totalCount': 50396},{'totalCount': 0},{'totalCount': 291},{'totalCount': 309},{'totalCount': 367},2314,541,60,,JavaScript,75.32368621477532,0.0
scikit-learn/scikit-learn,2010-08-17T09:43:38Z,2021-03-03T21:11:41Z,{'name': 'Python'},{'totalCount': 44749},{'totalCount': 22},{'totalCount': 7214},{'totalCount': 6732},{'totalCount': 8325},1459,287,0,,,98.14814814814815,1.0
tuvtran/project-based-learning,2017-04-12T05:07:46Z,2021-02-01T18:42:58Z,,{'totalCount': 44726},{'totalCount': 0},{'totalCount': 125},{'totalCount': 16},{'totalCount': 35},1488,2626,54,,TypeScript,98.83148831488316,0.0
psf/requests,2011-02-13T18:38:17Z,2021-02-24T17:19:48Z,{'name': 'Python'},{'totalCount': 44696},{'totalCount': 0},{'totalCount': 1368},{'totalCount': 3099},{'totalCount': 3347},2797,6178,194,,Go,96.93450114242194,0.0
ReactiveX/RxJava,2013-01-08T20:11:48Z,2021-03-03T08:12:47Z,{'name': 'Java'},{'totalCount': 44301},{'totalCount': 214},{'totalCount': 2960},{'totalCount': 3007},{'totalCount': 3018},4298,218,0,,,91.61836127212909,1064.0
scutan90/DeepLearning-500-questions,2018-06-27T06:36:45Z,2021-01-29T03:13:48Z,{'name': 'JavaScript'},{'totalCount': 43747},{'totalCount': 0},{'totalCount': 299},{'totalCount': 77},{'totalCount': 171},2314,541,60,,JavaScript,75.32368621477532,0.0
gatsbyjs/gatsby,2015-05-21T22:43:05Z,2021-03-03T21:08:23Z,{'name': 'JavaScript'},{'totalCount': 49248},{'totalCount': 82},{'totalCount': 14251},{'totalCount': 11790},{'totalCount': 12145},1459,287,0,,,98.14814814814815,1.0
h5bp/html5-boilerplate,2010-01-24T18:03:24Z,2021-03-01T05:13:55Z,{'name': 'JavaScript'},{'totalCount': 49168},{'totalCount': 32},{'totalCount': 434},{'totalCount': 1205},{'totalCount': 1208},1488,2626,54,,TypeScript,98.83148831488316,0.0
Semantic-Org/Semantic-UI,2013-04-08T23:32:04Z,2020-12-20T11:43:59Z,{'name': 'JavaScript'},{'totalCount': 49041},{'totalCount': 153},{'totalCount': 351},{'totalCount': 5226},{'totalCount': 6152},2797,6178,194,,Go,96.93450114242194,0.0
josephmisiti/awesome-machine-learning,2014-07-15T19:11:19Z,2021-02-28T17:15:04Z,{'name': 'Python'},{'totalCount': 48636},{'totalCount': 0},{'totalCount': 662},{'totalCount': 69},{'totalCount': 69},4298,218,0,,,91.61836127212909,1064.0
lodash/lodash,2012-04-07T04:11:46Z,2021-02-26T18:06:29Z,{'name': 'JavaScript'},{'totalCount': 48454},{'totalCount': 2},{'totalCount': 571},{'totalCount': 3787},{'totalCount': 3890},2314,541,60,,JavaScript,75.32368621477532,0.0
h5bp/Front-end-Developer-Interview-Questions,2012-02-09T23:34:10Z,2021-03-03T20:24:54Z,{'name': 'Nunjucks'},{'totalCount': 48174},{'totalCount': 0},{'totalCount': 357},{'totalCount': 105},{'totalCount': 108},1459,287,0,,,98.14814814814815,1.0
thedaviddias/Front-End-Checklist,2017-10-16T10:12:36Z,2021-02-04T15:18:43Z,,{'totalCount': 48054},{'totalCount': 1},{'totalCount': 164},{'totalCount': 115},{'totalCount': 121},1488,2626,54,,TypeScript,98.83148831488316,0.0
resume/resume.github.com,2011-02-06T13:39:55Z,2021-02-01T10:38:00Z,{'name': 'JavaScript'},{'totalCount': 48017},{'totalCount': 0},{'totalCount': 84},{'totalCount': 56},{'totalCount': 91},2797,6178,194,,Go,96.93450114242194,0.0
rails/rails,2008-04-11T02:19:47Z,2021-03-03T21:41:41Z,{'name': 'Ruby'},{'totalCount': 47710},{'totalCount': 36},{'totalCount': 17859},{'totalCount': 14129},{'totalCount': 14500},4298,218,0,,,91.61836127212909,1064.0
redis/redis,2009-03-21T22:32:25Z,2021-03-03T21:19:32Z,{'name': 'C'},{'totalCount': 47677},{'totalCount': 15},{'totalCount': 1694},{'totalCount': 3009},{'totalCount': 4705},2314,541,60,,JavaScript,75.32368621477532,0.0
ryanmcdermott/clean-code-javascript,2016-11-25T22:25:41Z,2021-02-26T06:58:10Z,{'name': 'JavaScript'},{'totalCount': 47371},{'totalCount': 0},{'totalCount': 145},{'totalCount': 66},{'totalCount': 103},1459,287,0,,,98.14814814814815,1.0
nvm-sh/nvm,2010-04-15T17:47:47Z,2021-03-03T15:20:46Z,{'name': 'Shell'},{'totalCount': 47099},{'totalCount': 57},{'totalCount': 604},{'totalCount': 1293},{'totalCount': 1537},1488,2626,54,,TypeScript,98.83148831488316,0.0
ansible/ansible,2012-03-06T14:58:02Z,2021-03-03T22:04:50Z,{'name': 'Python'},{'totalCount': 47092},{'totalCount': 3},{'totalCount': 32989},{'totalCount': 27571},{'totalCount': 28904},2797,6178,194,,Go,96.93450114242194,0.0
macrozheng/mall,2018-04-04T01:11:44Z,2021-03-02T13:04:37Z,{'name': 'Java'},{'totalCount': 46886},{'totalCount': 1},{'totalCount': 0},{'totalCount': 353},{'totalCount': 366},4298,218,0,,,91.61836127212909,1064.0
