Owner/Repository,Repository Age,Stars,Total Releases,CBO,DIT,WMC,LOC
react-native-svg/react-native-svg,1887,5239,73,4.0,2.0,6.0,7437.0
XRecyclerView/XRecyclerView,1947,5239,0,2.0,1.0,2.0,5151.0
rabbitmq/rabbitmq-tutorials,3831,5228,0,5.0,1.0,3.0,2471.0
yixia/VitamioBundle,3072,5217,0,3.0,1.0,4.0,6501.0
apache/incubator-dolphinscheduler,748,5215,15,4.0,1.0,5.0,58469.0
square/otto,3186,5213,0,1.0,1.0,1.0,1987.0
lightbend/config,3390,5212,0,3.0,1.0,5.0,13143.0
robolectric/robolectric,3855,5206,71,4.0,1.0,3.0,155677.0
commonsguy/cw-omnibus,3293,5204,36,4.0,1.0,3.0,84720.0
mrniko/netty-socketio,3353,5192,3,3.0,1.0,4.0,5531.0
haifengl/smile,2310,5190,22,5.0,1.0,9.0,102797.0
amitshekhariitbhu/Fast-Android-Networking,1823,5186,8,2.0,1.0,2.0,19596.0
apache/zeppelin,2185,5179,0,3.0,1.0,5.0,194293.0
Tencent/Shadow,644,5169,1,3.0,1.0,2.0,19858.0
Clans/FloatingActionButton,2189,5167,14,2.0,1.0,2.0,2805.0
ximsfei/Android-skin-support,1526,5167,0,5.0,1.0,6.0,21939.0
cryptomator/cryptomator,2601,5166,102,7.0,1.0,4.0,10125.0
scribejava/scribejava,3847,5145,4,3.0,1.0,2.0,12402.0
hanks-zyh/HTextView,1916,5132,0,2.0,1.0,3.0,3076.0
thinkaurelius/titan,3309,5129,0,4.0,1.0,4.0,71163.0
Yalantis/Side-Menu.Android,2256,5115,2,2.0,1.0,3.0,449.0
google/grafika,2646,5102,1,5.0,2.0,9.0,10035.0
motianhuo/wechat,2124,5095,0,3.0,1.0,3.0,34593.0
MindorksOpenSource/from-java-to-kotlin,1397,5069,0,0.5,1.0,7.0,37.0
h6ah4i/android-advancedrecyclerview,2245,5065,1,4.0,2.0,4.0,20692.0
apache/jmeter,3949,5060,0,4.0,2.0,7.0,126138.0
springfox/springfox,3238,5054,12,3.0,1.0,4.0,32115.0
frogermcs/InstaMaterial,2320,5035,1,2.0,1.0,1.0,2223.0
xxv/android-lifecycle,2526,5034,0,7.5,2.0,20.0,481.0
wuhaoyu1990/MagicCamera,1896,5011,0,3.0,1.0,4.0,14543.0
Alluxio/alluxio,3009,5000,42,5.0,1.0,6.0,177691.0
CameraKit/camerakit-android,1572,4997,17,2.0,1.0,2.0,4487.0
apache/dubbo-spring-boot-project,1155,4992,13,5.0,1.0,2.0,2058.0
gzu-liyujiang/AndroidPicker,1975,4991,28,2.0,1.0,2.0,9771.0
KeepSafe/TapTargetView,1649,4991,22,2.0,1.0,3.0,1948.0
yanzhenjie/SwipeRecyclerView,1688,4989,0,3.0,1.0,3.0,11714.0
alibaba/UltraViewPager,1450,4988,10,2.0,1.0,3.5,1518.0
Trinea/android-common,3194,4982,1,3.0,1.0,7.0,6671.0
changmingxie/tcc-transaction,1930,4972,0,3.0,1.0,4.0,5898.0
wequick/Small,1938,4961,25,2.0,1.0,1.0,7726.0
bytedeco/javacv,2523,4949,6,4.0,1.0,9.0,26129.0
traex/RippleEffect,2347,4941,0,2.0,1.0,1.0,504.0
Vedenin/useful-java-links,1860,4927,0,2.0,1.0,2.0,6861.0
wxiaoqi/Spring-Cloud-Platform,1393,4919,3,3.0,1.0,4.0,6014.0
careercup/ctci,2919,4913,0,2.0,1.0,7.0,11244.0
Karumi/Dexter,1948,4904,32,3.0,1.0,3.0,2197.0
spring-projects/spring-mvc-showcase,3576,4902,0,5.0,1.0,4.0,1281.0
amitshekhariitbhu/RxJava2-Android-Samples,1664,4897,0,2.0,1.0,3.0,3992.0
orhanobut/dialogplus,2288,4877,9,3.0,1.0,2.0,1047.0
Devlight/NavigationTabBar,1815,4848,13,2.0,1.0,2.0,2538.0
TommyLemon/Android-ZBLibrary,2037,4846,25,3.0,1.0,3.0,14602.0
JesusFreke/smali,3098,4844,1,4.0,1.0,4.0,46601.0
claritylab/lucida,2501,4843,0,4.0,1.0,9.0,23221.0
yipianfengye/android-zxingLibrary,1696,4818,0,3.0,1.0,2.0,2018.0
graphql-java/graphql-java,2082,4813,34,6.0,1.0,5.0,45374.0
wasabeef/Blurry,2065,4809,0,3.5,1.0,2.5,641.0
andkulikov/Transitions-Everywhere,2346,4803,23,5.0,1.0,3.0,9505.0
micronaut-projects/micronaut-core,1107,4803,71,4.0,1.0,3.0,110886.0
etsy/AndroidStaggeredGrid,2656,4800,7,3.0,1.5,5.5,4010.0
527515025/springBoot,1592,4800,0,4.0,1.0,3.0,7138.0
Ramotion/folding-cell-android,1812,4795,0,2.0,1.0,1.0,812.0
kekingcn/kkFileView,1192,4794,6,5.0,1.0,6.0,5211.0
pentaho/pentaho-kettle,2718,4793,1,2.0,1.0,2.0,756310.0
gabrielemariotti/cardslib,2736,4748,27,4.0,1.0,3.0,32257.0
saiwu-bigkoo/Android-ConvenientBanner,2277,4734,0,3.0,1.0,3.0,848.0
spring-projects/spring-petclinic,2990,4733,0,5.0,1.0,3.0,919.0
pardom-zz/ActiveAndroid,3045,4730,0,3.0,2.0,6.0,3158.0
crazycodeboy/react-native-splash-screen,1646,4706,11,2.5,1.0,3.0,230.0
google/cameraview,1687,4702,0,3.0,1.0,3.0,2983.0
testcontainers/testcontainers-java,2167,4696,49,5.0,1.0,3.0,18955.0
rubensousa/GravitySnapHelper,1660,4691,13,4.5,1.5,3.5,610.0
languagetool-org/languagetool,2779,4667,0,4.0,1.0,4.0,142185.0
square/sqlbrite,2219,4667,9,2.0,1.0,2.0,3329.0
journeyapps/zxing-android-embedded,3032,4666,6,4.0,1.0,6.0,4985.0
apache/beam,1871,4656,11,6.0,1.0,3.0,514546.0
h2pl/Java-Tutorial,1052,4652,0,0.0,1.0,0.5,8.0
mcxiaoke/packer-ng-plugin,1941,4636,1,2.0,1.0,6.0,1776.0
mybatis/generator,2958,4630,9,5.0,2.0,5.0,73711.0
socketio/socket.io-client-java,2881,4622,2,1.0,1.0,1.0,5168.0
DingMouRen/LayoutManagerGroup,1055,4612,0,3.0,2.0,3.0,2285.0
hongyangAndroid/baseAdapter,2054,4606,0,3.0,1.0,3.0,1563.0
JodaOrg/joda-time,3594,4600,32,6.0,2.0,14.0,91424.0
go-lang-plugin-org/go-lang-idea-plugin,3854,4587,21,6.0,2.0,5.0,45363.0
intuit/karate,1500,4577,35,4.0,1.0,3.5,37654.0
chentao0707/SimplifyReader,2040,4575,0,2.0,1.0,3.0,34709.0
danielzeller/Depth-LIB-Android-,1786,4571,0,2.0,1.0,2.0,3771.0
ZXZxin/ZXBlog,775,4568,0,1.0,1.0,1.0,589.0
danikula/AndroidVideoCache,2178,4560,20,3.0,1.0,4.0,3217.0
hibernate/hibernate-orm,3818,4556,16,5.0,1.0,4.0,640978.0
wdullaer/MaterialDateTimePicker,2266,4537,54,5.0,1.0,7.0,7536.0
SplashCodes/JAViewer,1762,4534,10,4.0,1.0,2.0,6309.0
JakeWharton/NineOldAndroids,3388,4522,0,2.0,1.0,2.0,7585.0
MinecraftForge/MinecraftForge,3335,4519,0,5.0,1.0,4.0,54631.0
jdamcd/android-crop,2562,4490,6,1.0,1.0,2.0,1676.0
facebook/shimmer-android,2211,4490,5,9.0,2.0,12.0,854.0
junit-team/junit5,2258,4488,49,3.0,1.0,2.0,66813.0
Flipboard/bottomsheet,2156,4483,10,3.0,1.0,1.0,2578.0
google/google-authenticator,2353,4471,0,2.0,1.0,4.0,3935.0
debezium/debezium,1882,4468,0,4.0,1.0,6.0,113744.0
youlookwhat/CloudReader,1579,4459,23,3.0,1.0,3.0,18441.0
zhanghai/Douya,1872,4459,11,4.0,1.0,4.0,44643.0
ffay/lanproxy,1579,4446,1,3.0,1.0,3.0,2663.0
square/android-times-square,2969,4430,0,4.0,1.0,1.0,2296.0
kyleduo/SwitchButton,2382,4427,0,2.0,1.0,2.0,1549.0
romandanylyk/PageIndicatorView,1671,4422,14,4.0,1.0,6.0,3532.0
btraceio/btrace,2394,4416,26,4.0,1.0,2.0,39415.0
huangyanbin/smartTable,1226,4409,44,2.0,1.0,3.0,14165.0
nisrulz/android-tips-tricks,1666,4395,0,1.0,1.0,6.0,22.0
HotBitmapGG/bilibili-android-client,1751,4382,1,3.0,1.0,6.0,38892.0
OpenTSDB/opentsdb,3856,4379,25,4.0,1.0,6.0,102983.0
pili-engineering/PLDroidPlayer,2116,4378,37,1.0,1.0,2.5,2387.0
mcxiaoke/android-volley,2858,4373,0,3.0,1.0,4.0,4965.0
jgilfelt/chuck,1500,4368,5,4.0,1.0,3.0,1698.0
Meituan-Dianping/Leaf,828,4354,0,1.5,1.0,3.0,1305.0
alibaba/dexposed,2088,4348,0,2.0,1.0,3.0,2414.0
castorflex/SmoothProgressBar,2668,4342,9,3.0,1.0,3.0,2208.0
spring-projects/spring-security-oauth,3523,4340,0,4.0,1.0,2.0,37422.0
tomakehurst/wiremock,3448,4337,1,4.0,1.0,3.0,35204.0
MindorksOpenSource/android-mvp-architecture,1511,4303,0,3.0,1.0,3.5,4049.0
doocs/jvm,999,4302,0,,,,
alibaba/COLA,1136,4298,3,3.0,1.0,1.0,4754.0
spring-cloud/spring-cloud-netflix,2442,4290,2,6.0,1.0,2.0,6885.0
jOOQ/jOOQ,3623,4286,0,8.0,1.0,6.0,165013.0
aporter/coursera-android,2629,4285,0,4.0,1.0,2.0,19599.0
orientechnologies/orientdb,3021,4275,164,6.0,1.0,6.0,423120.0
quartz-scheduler/quartz,1837,4275,2,3.0,1.0,4.0,41994.0
vavr-io/vavr,2604,4272,16,5.0,1.0,4.0,65068.0
razerdp/BasePopup,1889,4265,14,3.0,1.0,3.0,24471.0
AriaLyy/Aria,1854,4260,26,4.0,1.0,6.0,42493.0
YunaiV/onemall,686,4259,0,4.0,1.0,0.0,17058.0
jankotek/mapdb,3135,4254,0,2.0,1.0,4.0,20198.0
hazelcast/hazelcast,3284,4249,43,4.0,1.0,4.0,737837.0
gephi/gephi,3435,4241,12,3.0,1.0,4.0,120074.0
chillzhuang/SpringBlade,778,4234,0,5.0,1.0,1.0,2734.0
Ashok-Varma/BottomNavigation,1825,4232,16,5.5,1.0,6.0,2091.0
twowaits/SDE-Interview-Questions,1240,4228,1,0.0,1.0,1.0,5.0
puniverse/quasar,2913,4227,18,2.0,1.0,2.0,52770.0
techGay/v9porn,1071,4206,8,3.0,1.0,2.0,24663.0
alibaba/jvm-sandbox,1323,4205,12,2.0,1.0,2.0,14467.0
firebase/FirebaseUI-Android,2079,4196,61,4.0,1.0,2.5,16386.0
bingoogolapple/BGARefreshLayout-Android,2121,4176,4,3.0,1.0,2.0,5444.0
jeasonlzy/ImagePicker,1877,4168,5,3.0,1.0,3.0,3685.0
sofastack/sofa-boot,1081,4163,43,4.0,1.0,2.0,22370.0
hustcc/JS-Sorting-Algorithm,1519,4160,0,3.0,1.0,7.5,389.0
Tencent/GT,1891,4153,3,2.0,1.0,3.0,56188.0
lingochamp/okdownload,1187,4144,8,4.0,1.0,5.0,18951.0
confluentinc/ksql,1633,4126,8,5.0,1.0,5.0,155898.0
raphw/byte-buddy,2670,4123,214,4.0,1.0,3.0,238668.0
pedrovgs/AndroidWiFiADB,1978,4122,8,2.0,1.0,2.0,1096.0
grantland/android-autofittextview,3685,4114,1,4.0,1.0,3.0,470.0
auth0/java-jwt,2568,4105,23,4.0,1.0,8.5,7901.0
Jasonchenlijian/FastBle,1668,4086,8,2.0,1.0,2.0,4708.0
awangdev/LintCode,2154,4082,0,,,,
robinhood/ticker,1707,4078,9,4.0,1.0,4.0,1480.0
yasserg/crawler4j,3365,4076,3,4.0,1.0,6.0,4736.0
Nepxion/Discovery,1001,4070,98,3.0,1.0,3.0,15480.0
apache/groovy,2163,4059,0,3.0,1.0,4.0,184475.0
hugeterry/CoordinatorTabLayout,1511,4054,0,3.0,1.0,3.0,473.0
Yalantis/Phoenix,2257,4044,1,2.5,1.0,1.0,976.0
makovkastar/FloatingActionButton,2431,4040,0,3.0,2.0,3.0,1014.0
metersphere/metersphere,409,4030,43,3.0,1.0,3.0,100090.0
baoyachi/StepView,1730,4029,13,7.0,2.0,2.0,906.0
ChadCSong/ShineButton,1717,4014,2,2.0,1.0,1.0,1111.0
Jacksgong/JKeyboardPanelSwitch,2087,4013,14,3.0,1.0,3.0,1736.0
rubensousa/ViewPagerCards,1671,3998,0,6.0,2.0,3.0,240.0
reactive-streams/reactive-streams-jvm,2575,3979,0,3.0,1.0,2.0,15248.0
roncoo/roncoo-pay,1701,3974,0,3.0,1.0,7.0,20071.0
bingoogolapple/BGABanner-Android,2336,3972,0,3.0,2.0,3.0,2123.0
CellularPrivacy/Android-IMSI-Catcher-Detector,2672,3970,48,3.0,1.0,2.0,12171.0
rengwuxian/RxJavaSamples,1820,3969,3,3.0,1.0,1.0,1001.0
dinuscxj/LoadingDrawable,1797,3964,0,4.0,1.0,2.0,4428.0
apache/hbase,2491,3963,4,5.0,1.0,5.0,854126.0
alipay/SoloPi,735,3959,6,2.0,1.0,2.0,53275.0
alibaba/jstorm,2753,3953,22,4.0,1.0,5.0,296853.0
ElderDrivers/EdXposed,790,3951,27,4.0,1.0,7.0,71794.0
frohoff/ysoserial,2241,3946,0,3.0,1.0,3.0,3843.0
deathmarine/Luyten,2807,3946,17,1.0,1.0,2.0,6750.0
BoltsFramework/Bolts-Android,2604,3945,11,1.0,1.0,1.0,5144.0
baidu/uid-generator,1452,3941,0,1.0,1.0,6.0,873.0
Meituan-Dianping/Robust,1465,3937,13,2.0,1.0,6.0,2953.0
airbnb/DeepLinkDispatch,2107,3937,10,3.0,1.0,4.0,9576.0
alibaba/Tangram-Android,1450,3936,38,3.0,1.0,3.0,24338.0
qstumn/BadgeView,1499,3919,5,2.0,1.0,2.0,1759.0
2227324689/gpmall,609,3919,0,3.0,1.0,2.0,8901.0
JoanZapata/android-iconify,2836,3918,0,3.0,1.0,3.0,909.0
cglib/cglib,2546,3916,15,1.0,1.0,2.0,17670.0
Netflix/ribbon,2984,3909,40,2.0,1.0,2.0,21786.0
codingapi/tx-lcn,1223,3908,14,4.0,1.0,2.0,7788.0
spring-projects/spring-data-examples,2604,3905,0,2.0,1.0,1.0,51465.0
flowable/flowable-engine,1617,3900,17,6.0,1.0,5.0,507754.0
plantuml/plantuml,3787,3890,0,5.0,1.0,5.0,188193.0
JanusGraph/janusgraph,1543,3882,18,4.0,1.0,5.0,85008.0
cjlin1/libsvm,2746,3878,0,1.5,1.0,1.0,3087.0
LawnchairLauncher/Lawnchair,1476,3875,22,4.0,1.0,5.0,99733.0
bitcoinj/bitcoinj,2676,3873,1,3.0,1.0,3.0,96760.0
ongakuer/CircleIndicator,2423,3867,7,5.0,2.0,3.0,1712.0
javagrowing/JGrowing,751,3867,0,1.0,1.0,2.0,329.0
aurelhubert/ahbottomnavigation,1827,3862,14,2.0,1.0,2.0,2339.0
lcodecorex/TwinklingRefreshLayout,1842,3860,0,2.0,1.0,2.0,6273.0
google/google-java-format,2138,3827,11,3.0,1.0,5.0,11908.0
roboguice/roboguice,3140,3826,0,3.0,1.0,1.0,74026.0
ThirtyDegreesRay/OpenHub,1346,3826,30,4.0,1.0,3.0,24652.0
lettuce-io/lettuce-core,2504,3822,83,4.0,1.0,5.0,76611.0
hansonwang99/Spring-Boot-In-Action,780,3819,0,3.0,1.0,2.0,2714.0
xcltapestry/XCL-Charts,2474,3808,0,3.0,1.0,7.0,23397.0
Manabu-GT/ExpandableTextView,2497,3804,4,4.0,1.0,4.0,552.0
Exrick/xpay,1192,3800,0,5.0,1.0,8.0,1449.0
stleary/JSON-java,3740,3799,13,1.0,1.0,6.0,9487.0
zuihou/lamp-cloud,1156,3794,0,8.0,1.0,1.0,9259.0
youtube/api-samples,2656,3782,0,7.0,1.0,6.0,2541.0
zhanglei-workspace/shopping-management-system,1949,3779,0,3.0,1.0,6.5,5507.0
iNPUTmice/Conversations,2610,3777,93,3.0,1.0,5.0,66791.0
objectbox/objectbox-java,1514,3769,24,3.5,1.0,4.0,14194.0
bluelinelabs/Conductor,1828,3757,19,4.0,1.0,5.0,8862.0
MiguelCatalan/MaterialSearchView,2012,3757,6,2.0,1.0,3.0,1361.0
orhanobut/hawk,2219,3755,22,2.0,1.0,5.5,834.0
yhaolpz/FloatWindow,1220,3745,9,2.0,1.0,3.5,1473.0
apache/ignite,2219,3734,0,4.0,1.0,3.0,1057544.0
phishman3579/java-algorithms-implementation,2675,3716,0,3.0,1.0,8.0,31758.0
yanzhenjie/NoHttp,2059,3709,0,3.0,1.0,4.0,8428.0
natario1/CameraView,1339,3701,40,3.0,1.0,2.0,21086.0
mapstruct/mapstruct,3216,3696,19,2.0,1.0,2.0,71276.0
Piasy/BigImageViewer,1593,3695,0,3.0,1.0,2.0,2559.0
timehop/sticky-headers-recyclerview,2358,3685,0,2.0,1.0,2.0,808.0
luckybilly/CC,1211,3683,0,4.0,1.0,3.0,4599.0
Freeyourgadget/Gadgetbridge,2264,3674,0,4.0,1.0,4.0,93079.0
alibaba/transmittable-thread-local,2713,3673,43,4.0,1.0,8.0,2673.0
oldmanpushcart/greys-anatomy,3039,3657,0,3.0,1.0,3.0,10774.0
apache/camel,4319,3656,0,5.0,1.0,2.0,1516351.0
microsoft/malmo,1766,3651,21,5.0,2.0,8.0,19130.0
CalebFenton/simplify,2618,3634,9,7.0,1.0,5.0,21151.0
apache/hive,4319,3631,0,4.0,1.0,6.0,1866828.0
zzhoujay/RichText,2067,3627,0,2.0,1.0,2.0,5185.0
brianway/java-learning,1864,3627,0,1.0,1.0,2.0,10984.0
ZHENFENG13/spring-boot-projects,1447,3621,0,3.0,1.0,4.0,3070.0
lzyzsd/CircleProgress,2331,3618,0,6.0,2.0,4.0,1388.0
rockerhieu/emojicon,2616,3614,2,4.0,1.0,3.0,2971.0
amirzaidi/Launcher3,1388,3611,22,3.0,1.0,3.0,60130.0
databricks/learning-spark,2467,3608,0,2.0,1.0,1.0,2295.0
javaparser/javaparser,3427,3607,24,6.0,1.0,5.0,150853.0
dreamhead/moco,3073,3605,0,5.0,1.0,3.0,15331.0
nytimes/Store,1570,3600,0,5.0,1.0,3.0,11288.0
yangfuhai/ASimpleCache,2790,3597,0,2.0,1.0,5.0,1993.0
dromara/soul,981,3595,1,4.0,1.0,2.0,30995.0
ronmamo/reflections,2893,3592,0,1.0,1.0,0.0,5131.0
azkaban/azkaban,3073,3592,48,4.0,1.0,6.0,80429.0
chewiebug/GCViewer,3434,3590,5,4.0,1.0,6.0,19748.0
johncarl81/parceler,2815,3589,0,3.0,1.0,2.0,10156.0
litesuits/android-common,2485,3587,0,2.0,1.0,8.0,6519.0
rstudio/rstudio,3754,3585,0,3.0,1.0,2.0,202561.0
ryanhoo/StylishMusicPlayer,1647,3579,0,3.0,1.0,3.0,5777.0
bjmashibing/InternetArchitect,516,3553,0,3.0,1.0,3.0,87907.0
brianfrankcooper/YCSB,3986,3546,55,3.0,1.0,10.0,22046.0
dongjunkun/DropDownMenu,2095,3545,2,3.0,1.0,2.0,513.0
luontola/retrolambda,2798,3544,0,1.0,1.0,1.0,4848.0
tyrantgit/ExplosionField,2003,3539,0,2.0,1.5,2.5,343.0
kiegroup/drools,3681,3535,0,4.0,1.0,5.0,729968.0
baoyongzhang/SwipeMenuListView,2398,3531,2,2.0,1.0,2.0,1347.0
pqpo/SmartCropper,1323,3528,13,3.0,1.0,4.0,1004.0
JZ-Darkal/AndroidHttpCapture,1615,3525,1,2.5,1.0,4.0,15905.0
oblac/jodd,3114,3523,37,3.0,1.0,4.0,26871.0
willowtreeapps/spruce-android,1484,3512,3,3.0,1.0,3.0,4269.0
lsjwzh/RecyclerViewPager,2252,3507,10,2.0,1.0,2.0,2735.0
kikoso/android-stackblur,2772,3505,0,0.0,1.0,0.0,933.0
arimorty/floatingsearchview,1943,3504,0,2.0,1.0,2.0,4170.0
apache/incubator-heron,2001,3504,54,4.0,1.0,4.0,70653.0
sunfusheng/MarqueeView,1751,3501,0,4.0,1.0,2.0,804.0
awsdocs/aws-doc-sdk-examples,1673,3501,0,5.0,1.0,4.0,37748.0
Atmosphere/atmosphere,3914,3501,0,4.0,1.0,4.0,42182.0
dromara/hmily,1267,3500,0,4.0,1.0,2.0,22511.0
aws/aws-sdk-java,4014,3499,0,6.0,1.0,8.0,4757243.0
getActivity/AndroidProject,877,3498,14,4.0,1.0,3.0,17932.0
codeestX/GeekNews,1684,3498,0,2.0,1.0,2.0,11939.0
vespa-engine/vespa,1749,3496,0,4.0,1.0,5.0,596866.0
eirslett/frontend-maven-plugin,2757,3495,0,3.0,1.0,4.5,2556.0
theonedev/onedev,863,3494,36,4.0,1.0,2.0,168164.0
ankidroid/Anki-Android,2979,3488,902,5.0,1.0,5.0,77897.0
xcc3641/SeeWeather,1853,3488,2,3.0,1.0,3.0,3101.0
hussien89aa/AndroidTutorialForBeginners,1634,3484,0,4.0,1.0,3.0,4071.0
openhab/openhab1-addons,2736,3482,14,2.0,1.0,4.0,197948.0
apache/rocketmq-externals,1465,3479,0,3.0,1.0,4.0,33424.0
mercyblitz/tech-weekly,836,3474,0,1.5,1.0,1.0,1017.0
coobird/thumbnailator,2063,3473,0,2.0,1.0,4.0,16098.0
reactor/reactor-core,1955,3472,92,5.0,1.0,4.0,41378.0
bisq-network/bisq,2563,3458,103,4.0,1.0,3.0,140554.0
microg/GmsCore,2521,3455,20,4.0,2.0,2.0,31665.0
binIoter/GuideView,1733,3453,0,2.0,1.0,2.0,1246.0
powermock/powermock,2486,3444,16,2.0,1.0,2.0,32977.0
avast/android-butterknife-zelezny,2642,3433,8,3.0,1.0,3.0,1626.0
AntennaPod/AntennaPod,3152,3431,34,5.0,1.0,6.0,48191.0
JakeWharton/ThreeTenABP,2085,3428,0,4.0,1.0,3.0,117.0
bilibili/MagicaSakura,1729,3423,3,7.5,2.0,8.5,5355.0
bytedeco/javacpp,2523,3422,6,4.0,2.0,22.0,24580.0
dropbox/hackpad,2043,3413,0,3.0,1.0,7.0,87731.0
guolindev/giffun,780,3407,0,3.0,1.0,4.0,22397.0
andremion/Music-Player,1777,3400,2,3.5,2.0,3.0,926.0
yigit/android-priority-jobqueue,2463,3398,0,3.0,1.0,2.0,14102.0
davideas/FlexibleAdapter,2147,3393,30,4.0,1.0,4.0,15853.0
apache/shiro,4219,3387,0,4.0,1.0,3.0,31452.0
ivacf/archi,2015,3372,0,3.5,1.0,3.5,2029.0
lygttpod/SuperTextView,1611,3371,38,2.0,1.0,1.0,4002.0
macrozheng/springcloud-learning,558,3371,0,4.0,1.0,1.0,2979.0
jhalterman/failsafe,2088,3359,0,5.0,1.0,4.0,6692.0
CameraKit/blurkit-android,1593,3354,3,5.0,1.0,2.5,497.0
google/open-location-code,2361,3351,5,3.0,1.0,2.0,2252.0
react-native-webrtc/react-native-webrtc,1999,3344,33,2.0,1.0,4.0,2557.0
crossoverJie/SSM,1731,3342,10,2.0,1.0,5.0,12864.0
gyoogle/tech-interview-for-developer,648,3338,0,1.5,1.0,7.5,663.0
meefik/linuxdeploy,3131,3332,37,5.0,2.0,7.0,2693.0
stfalcon-studio/ChatKit,1505,3329,1,3.0,2.0,3.0,4680.0
Snailclimb/springboot-guide,841,3323,0,4.0,1.0,1.0,1766.0
Ereza/CustomActivityOnCrash,2449,3312,11,3.0,1.0,2.0,998.0
actorapp/actor-platform,2097,3310,97,3.0,1.0,4.0,135306.0
pmd/pmd,3172,3303,62,3.0,2.0,3.0,120902.0
jitsi/jitsi,2885,3298,7,3.0,1.0,5.0,218998.0
mpusher/mpush,1785,3295,9,3.0,1.0,4.0,15032.0
alamkanak/Android-Week-View,2374,3292,4,2.0,1.0,2.0,2003.0
Genymobile/gnirehtet,1498,3290,11,2.0,1.0,6.0,4326.0
citerus/dddsample-core,2238,3286,0,4.0,1.0,3.0,4360.0
sofastack/sofa-rpc,1074,3283,37,4.0,1.0,4.0,62511.0
google/rejoiner,1198,3281,3,5.0,1.0,3.0,3566.0
Doikki/DKVideoPlayer,1437,3272,30,3.0,1.0,4.0,13367.0
mcxtzhang/SwipeDelMenuLayout,1666,3264,2,2.0,1.0,1.0,1085.0
shekhargulati/99-problems,1943,3262,0,2.0,1.0,3.0,2057.0
Netflix/conductor,1562,3253,240,6.0,1.0,4.0,59186.0
mybatis/spring-boot-starter,2001,3251,20,4.0,1.0,2.0,3609.0
abel533/MyBatis-Spring-Boot,1916,3250,0,4.5,1.0,4.5,396.0
WVector/AppUpdate,1368,3245,3,3.0,1.0,3.0,2925.0
iammert/ScalingLayout,1264,3242,4,2.0,1.0,2.0,631.0
bluelinelabs/LoganSquare,2221,3238,0,3.0,1.0,2.5,6892.0
tangqi92/Android-Tips,2016,3236,0,0.0,1.0,4.0,177.0
linyiqun/DataMiningAlgorithm,2258,3228,0,2.0,1.0,9.0,11663.0
sherxon/AlgoDS,1553,3228,0,1.0,1.0,8.0,21217.0
GitLqr/LQRWeChat,1500,3227,0,2.0,1.0,4.0,17612.0
TeamAmaze/AmazeFileManager,2439,3226,50,4.0,1.0,4.0,37149.0
rovo89/XposedInstaller,3272,3224,0,2.0,1.0,2.0,8980.0
rubensousa/PreviewSeekBar,1514,3222,7,2.0,1.0,3.0,1215.0
bauerca/drag-sort-listview,3212,3218,0,2.0,1.0,2.0,4301.0
oracle/opengrok,2992,3216,161,3.0,1.0,4.0,63897.0
bilibili/boxing,1516,3214,1,4.0,1.0,5.0,5910.0
code4craft/tiny-spring,2624,3214,0,2.0,1.0,2.0,1543.0
chrisbanes/ActionBar-PullToRefresh,2844,3213,0,5.0,2.0,3.0,3717.0
luojilab/DDComponentForAndroid,1288,3213,4,2.0,1.0,3.0,1449.0
Exrick/xboot,1060,3206,5,6.0,1.0,2.0,10323.0
googlemaps/android-maps-utils,2862,3205,17,5.0,1.0,6.0,13357.0
querydsl/querydsl,3513,3204,32,3.0,1.0,2.0,98653.0
tuguangquan/mybatis,2327,3201,0,2.0,1.0,4.0,39118.0
hope-for/hope-boot,883,3197,2,4.0,1.0,3.0,2870.0
yangfuhai/afinal,3074,3195,0,2.0,1.0,6.5,6971.0
ragunathjawahar/android-saripaar,3113,3190,3,3.0,2.0,4.0,4723.0
pengjianbo/GalleryFinal,2005,3181,4,3.0,1.0,4.0,7997.0
stylefeng/Guns,1351,3181,0,3.0,1.0,5.0,8490.0
cucumber/cucumber,2097,3174,40,1.0,1.0,1.0,14888.0
hmkcode/Android,2754,3167,0,5.0,1.5,3.0,1851.0
runelite/runelite,1783,3162,0,3.0,1.0,3.0,186530.0
daimajia/AndroidViewHover,2414,3162,4,2.0,1.0,2.0,712.0
ittianyu/BottomNavigationViewEx,1587,3160,19,3.0,1.0,3.0,1371.0
M66B/NetGuard,1972,3159,128,2.0,1.0,2.0,12767.0
google/data-transfer-project,1169,3159,36,3.0,1.0,4.0,20491.0
kevinsawicki/http-request,3436,3159,0,2.0,1.0,1.0,4876.0
UnevenSoftware/LeafPic,1897,3158,7,3.0,1.0,3.0,13594.0
lisawray/groupie,1659,3156,26,3.0,1.0,4.0,3891.0
zzz40500/GsonFormat,2330,3152,4,1.0,1.0,2.0,5684.0
networknt/light-4j,1651,3148,130,2.0,1.0,4.0,41535.0
code4craft/netty-learning,2737,3146,0,4.0,1.0,4.0,68759.0
liuyubobobo/Play-with-Algorithms,1717,3142,0,3.0,1.0,11.0,15403.0
apache/cordova-android,3032,3139,0,2.0,1.0,2.0,5820.0
hitherejoe/animate,1949,3132,0,6.0,2.0,4.0,1706.0
knowm/XChange,3332,3127,0,4.0,1.0,4.0,155496.0
airbnb/native-navigation,1644,3125,0,3.0,1.0,2.0,4473.0
ethanhua/Skeleton,1327,3123,0,3.0,1.0,2.0,752.0
