Owner/Repository,Repository Age,Stars,Total Releases,CBO,DIT,WMC,LOC
umano/AndroidSlidingUpPanel,2847,9226,8,,,,
janishar/mit-deep-learning-book-pdf,1440,9168,3,,,,
heibaiying/BigData-Notes,738,9163,0,,,,
google/auto,2856,9135,41,,,,
navasmdc/MaterialDesignLibrary,2360,9132,3,,,,
perwendel/spark,3604,9016,0,,,,
react-native-camera/react-native-camera,2177,9008,123,,,,
googlesamples/easypermissions,1912,8982,12,,,,
nathanmarz/storm,3469,8957,0,,,,
bilibili/DanmakuFlameMaster,2775,8900,5,,,,
clojure/clojure,3914,8826,0,,,,
chrisbanes/Android-PullToRefresh,3396,8809,0,,,,
MyCATApache/Mycat-Server,2295,8774,7,,,,
square/javapoet,2966,8761,0,,,,
paascloud/paascloud-master,1096,8749,0,,,,
neo4j/neo4j,3047,8718,72,,,,
koral--/android-gif-drawable,2968,8709,55,,,,
jhy/jsoup,4106,8620,2,,,,
chrisjenx/Calligraphy,2644,8609,4,,,,
lihengming/spring-boot-api-project-seed,1363,8576,4,,,,
laobie/StatusBarUtil,1857,8575,0,,,,
hackware1993/MagicIndicator,1725,8516,12,,,,
grpc/grpc-java,2291,8493,86,,,,
apereo/cas,3477,8483,182,,,,
pxb1988/dex2jar,2193,8472,4,,,,
keycloak/keycloak,2815,8446,5,,,,
roughike/BottomBar,1827,8446,4,,,,
alibaba/DataX,1154,8441,0,,,,
Freelander/Android_Data,2174,8373,0,,,,
careercup/CtCI-6th-Edition,2085,8352,0,,,,
lzyzsd/JsBridge,2211,8340,0,,,,
didi/VirtualAPK,1357,8323,4,,,,
zaproxy/zaproxy,2114,8309,202,,,,
openjdk/jdk,912,8301,0,,,,
thingsboard/thingsboard,1567,8275,41,,,,
macrozheng/mall-learning,705,8227,0,,,,
florent37/MaterialViewPager,2154,8224,11,,,,
GcsSloop/AndroidNote,1899,8153,0,,,,
junit-team/junit4,4446,8088,13,,,,
OpenAPITools/openapi-generator,1040,8001,38,,,,
Blankj/awesome-java-leetcode,1430,7992,0,,,,
OpenRefine/OpenRefine,3075,7955,26,,,,
android/testing-samples,2349,7926,0,,,,
DuGuQiuBai/Java,1939,7915,0,,,,
Justson/AgentWeb,1405,7912,11,,,,
dropwizard/dropwizard,3710,7905,104,,,,
alibaba/atlas,1478,7902,7,,,,
HannahMitt/HomeMirror,2033,7893,0,,,,
stanfordnlp/CoreNLP,2820,7867,2,,,,
TooTallNate/Java-WebSocket,4074,7832,12,,,,
facebook/buck,2891,7788,56,,,,
ybq/Android-SpinKit,1823,7785,0,,,,
cats-oss/android-gpuimage,3086,7778,0,,,,
Netflix/SimianArmy,3176,7743,4,,,,
amitshekhariitbhu/Android-Debug-Database,1582,7737,12,,,,
ChrisRM/material-theme-jetbrains,2002,7721,17,,,,
asLody/VirtualApp,1715,7634,0,,,,
trello/RxLifecycle,2067,7606,22,,,,
JakeWharton/hugo,2669,7585,0,,,,
Activiti/Activiti,3107,7565,25,,,,
firebase/quickstart-android,1786,7557,0,,,,
guolindev/LitePal,2947,7556,0,,,,
crossoverJie/cim,1032,7527,7,,,,
hs-web/hsweb-framework,1885,7513,20,,,,
apache/pulsar,1723,7471,45,,,,
huanghaibin-dev/CalendarView,1467,7454,0,,,,
