nameWithOwner,createdAt,pushedAt,primaryLanguage,stargazers,releases,mergedPRs,closedIssues,totalIssues
typicode/json-server,2013-11-27T13:21:13Z,2021-02-17T11:39:10Z,{'name': 'JavaScript'},{'totalCount': 52377},{'totalCount': 9},{'totalCount': 96},{'totalCount': 427},{'totalCount': 930}
chartjs/Chart.js,2013-03-17T23:56:36Z,2021-02-23T11:59:50Z,{'name': 'JavaScript'},{'totalCount': 52228},{'totalCount': 57},{'totalCount': 2065},{'totalCount': 5404},{'totalCount': 5651}
doocs/advanced-java,2018-10-06T11:38:30Z,2021-02-20T12:15:22Z,{'name': 'Java'},{'totalCount': 52207},{'totalCount': 0},{'totalCount': 58},{'totalCount': 108},{'totalCount': 109}
expressjs/express,2009-06-26T18:56:01Z,2021-02-02T04:10:32Z,{'name': 'JavaScript'},{'totalCount': 52026},{'totalCount': 141},{'totalCount': 211},{'totalCount': 3365},{'totalCount': 3470}
xingshaocheng/architect-awesome,2018-04-06T13:30:58Z,2020-12-24T15:08:09Z,,{'totalCount': 51897},{'totalCount': 0},{'totalCount': 49},{'totalCount': 19},{'totalCount': 64}
shadowsocks/shadowsocks-windows,2013-01-14T07:54:16Z,2021-02-23T07:54:13Z,{'name': 'C#'},{'totalCount': 51717},{'totalCount': 54},{'totalCount': 252},{'totalCount': 2631},{'totalCount': 2652}
netdata/netdata,2013-06-17T18:39:10Z,2021-02-23T11:55:51Z,{'name': 'C'},{'totalCount': 51514},{'totalCount': 43},{'totalCount': 4010},{'totalCount': 5512},{'totalCount': 6095}
microsoft/PowerToys,2019-05-01T17:44:02Z,2021-02-23T11:47:45Z,{'name': 'C#'},{'totalCount': 50782},{'totalCount': 32},{'totalCount': 2113},{'totalCount': 6138},{'totalCount': 7428}
keras-team/keras,2015-03-28T00:35:42Z,2021-02-23T03:40:28Z,{'name': 'Python'},{'totalCount': 50751},{'totalCount': 23},{'totalCount': 2414},{'totalCount': 7234},{'totalCount': 10430}
chrislgarry/Apollo-11,2014-04-03T15:45:02Z,2021-01-06T19:32:25Z,{'name': 'Assembly'},{'totalCount': 50327},{'totalCount': 0},{'totalCount': 291},{'totalCount': 308},{'totalCount': 366}
adam-p/markdown-here,2012-05-13T03:27:22Z,2020-12-31T17:25:05Z,{'name': 'JavaScript'},{'totalCount': 50324},{'totalCount': 11},{'totalCount': 20},{'totalCount': 302},{'totalCount': 570}
gohugoio/hugo,2013-07-04T15:26:26Z,2021-02-23T10:01:13Z,{'name': 'Go'},{'totalCount': 50244},{'totalCount': 150},{'totalCount': 1309},{'totalCount': 4606},{'totalCount': 5186}
kdn251/interviews,2017-02-14T18:19:25Z,2021-02-04T09:12:05Z,{'name': 'Java'},{'totalCount': 50243},{'totalCount': 0},{'totalCount': 42},{'totalCount': 18},{'totalCount': 45}
yangshun/tech-interview-handbook,2016-07-05T05:00:48Z,2021-01-20T18:24:12Z,{'name': 'JavaScript'},{'totalCount': 49969},{'totalCount': 0},{'totalCount': 126},{'totalCount': 21},{'totalCount': 29}
httpie/httpie,2012-02-25T12:39:13Z,2021-02-23T11:51:06Z,{'name': 'Python'},{'totalCount': 49940},{'totalCount': 36},{'totalCount': 141},{'totalCount': 552},{'totalCount': 667}
bitcoin/bitcoin,2010-12-19T15:16:43Z,2021-02-23T11:14:54Z,{'name': 'C++'},{'totalCount': 49822},{'totalCount': 34},{'totalCount': 9864},{'totalCount': 5455},{'totalCount': 6025}
ElemeFE/element,2016-09-03T06:19:26Z,2021-02-23T12:19:57Z,{'name': 'Vue'},{'totalCount': 49234},{'totalCount': 132},{'totalCount': 3092},{'totalCount': 14723},{'totalCount': 16218}
gatsbyjs/gatsby,2015-05-21T22:43:05Z,2021-02-23T12:32:05Z,{'name': 'JavaScript'},{'totalCount': 49129},{'totalCount': 81},{'totalCount': 14095},{'totalCount': 11735},{'totalCount': 12095}
h5bp/html5-boilerplate,2010-01-24T18:03:24Z,2021-02-22T22:07:37Z,{'name': 'JavaScript'},{'totalCount': 49118},{'totalCount': 32},{'totalCount': 434},{'totalCount': 1205},{'totalCount': 1207}
Semantic-Org/Semantic-UI,2013-04-08T23:32:04Z,2020-12-20T11:43:59Z,{'name': 'JavaScript'},{'totalCount': 49019},{'totalCount': 153},{'totalCount': 351},{'totalCount': 5226},{'totalCount': 6151}
josephmisiti/awesome-machine-learning,2014-07-15T19:11:19Z,2021-02-21T10:01:49Z,{'name': 'Python'},{'totalCount': 48531},{'totalCount': 0},{'totalCount': 658},{'totalCount': 69},{'totalCount': 69}
lodash/lodash,2012-04-07T04:11:46Z,2021-02-20T18:48:58Z,{'name': 'JavaScript'},{'totalCount': 48353},{'totalCount': 2},{'totalCount': 571},{'totalCount': 3786},{'totalCount': 3879}
